                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         train/ave_loss,           val/ave_loss,                   mIOU,             IOU_array0,             IOU_array1,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                      0,                 1.0743,                 1.4754,                 1.1179,                0.56194,                0.74617,                0.67564,                0.50662,                0.89785,                 1.0768,                0.98559,                0.58901,                0.57777,                0.49961,                0.99913,             9.6897e-05,                 10.681,                0.16328,             0.00054065,             0.00054065,             0.00054065,             0.00054065
                      1,                0.98531,                 0.9522,                 1.0498,                0.75845,                0.75624,                0.81931,                  0.609,                0.91364,                0.88242,                 1.0303,                0.22522,                0.10462,                0.49959,                0.99917,                      0,                 10.694,                0.17286,              0.0010927,              0.0010927,              0.0010927,              0.0010927
                      2,                 1.0026,                0.90942,                 1.0751,                0.82829,                0.71705,                0.84203,                0.62329,                0.94798,                 0.9984,                 1.0569,               0.046059,               0.017177,                0.49959,                0.99917,                      0,                 10.713,                0.17666,              0.0016411,              0.0016411,              0.0016411,              0.0016411
                      3,                 1.0694,                0.94456,                 1.1044,                0.73953,                0.76211,                0.81733,                0.58158,                 1.0533,                0.94786,                 1.0939,               0.012112,              0.0075026,                0.55987,                0.99916,                0.12059,                 10.734,                0.17401,              0.0016505,              0.0016505,              0.0016505,              0.0016505
                      4,                0.96851,                0.84509,                 1.0537,                0.69283,                0.79544,                0.74401,                0.54265,                0.90675,                0.90518,                 1.0408,              0.0061189,              0.0048988,                0.58364,                0.99926,                0.16802,                 10.753,                0.16798,              0.0016505,              0.0016505,              0.0016505,              0.0016505
                      5,                0.93548,                0.82026,                 1.0497,                0.86741,                0.81895,                0.88593,                0.67248,                0.89233,                0.72884,                 1.0211,              0.0048501,              0.0038908,                0.62433,                 0.9993,                0.24937,                 10.771,                0.16021,               0.001645,               0.001645,               0.001645,               0.001645
                      6,                 0.9339,                0.76976,                  1.036,                0.82355,                0.84261,                0.89452,                0.67863,                0.86024,                0.69162,                0.99881,              0.0040888,              0.0038067,                0.65392,                0.99902,                0.30881,                  10.79,                0.15037,              0.0016395,              0.0016395,              0.0016395,              0.0016395
                      7,                0.91095,                0.73575,                 1.0263,                0.86171,                0.83866,                  0.907,                 0.7002,                0.87093,                0.65411,                 1.0172,              0.0037659,              0.0031242,                0.61683,                0.99932,                0.23435,                 10.806,                0.14007,               0.001634,               0.001634,               0.001634,               0.001634
                      8,                 0.8969,                0.71637,                 1.0226,                0.75487,                0.81039,                0.87046,                0.66916,                0.88744,                0.77183,                 1.0203,              0.0034824,              0.0030118,                0.57502,                0.99928,                0.15077,                 10.822,                0.12884,              0.0016285,              0.0016285,              0.0016285,              0.0016285
                      9,                0.88724,                 0.7154,                 1.0153,                0.87287,                0.84343,                0.90877,                0.70633,                0.83291,                0.60495,                0.99303,              0.0031575,              0.0028204,                0.62373,                0.99933,                0.24813,                 10.838,                 0.1168,               0.001623,               0.001623,               0.001623,               0.001623
                     10,                0.87517,                0.69951,                 1.0098,                0.85576,                0.83775,                0.90999,                0.71438,                0.82966,                  0.628,                0.98482,              0.0033635,              0.0028515,                0.67711,                0.99919,                0.35502,                 10.854,                0.10241,              0.0016175,              0.0016175,              0.0016175,              0.0016175
